Name,Short Code
Accounting User,ACS
Customer,CS
Ecommerce Customer,ECC
Inventory User,IVS
Purchasing Manager,PCH
Purchasing User,PCS
Sales Manager,SAH
Sales User,SAS
System Admin,SMA
Testing,TST
Website,WBT
